SENML,RANGE,BLOOM,INTERPOLATE,ANNOT,PERSIST,TOTAL_SUM
3.449403,3.697259,2.375496,2.22636,6.992322,1.569383,20.310222999999997
4.163489,2.733748,2.488816,2.159786,6.986852,3.536284,22.068975000000002
4.533895,2.298302,2.515609,2.096964,7.110062,3.758279,22.313111
4.646018,1.978316,5.207371,0.108277,6.41357,4.079195,22.432747
4.882188,1.740081,5.158174,0.096609,6.414859,4.3837,22.675611
5.030154,4.799642,2.189094,0.119363,6.027102,4.858883,23.024237999999997
5.250885,4.468249,2.245654,0.082061,6.033859,5.355332,23.436040000000002
5.45203,4.215635,2.232697,0.088691,6.012919,5.8734,23.875372000000002
5.770136,3.844971,2.284858,0.071607,6.082548,6.164976,24.219096
5.947196,4.544361,1.264013,0.151543,5.995368,6.504084,24.406565
